,Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean,Total SqKm,Change,Change_Pct
0,Aruba,ABW,Forest area (sq. km),AG.LND.FRST.K2,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.199999868869781,180.0,0.0,0.0
1,Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,652860.0,0.0,0.0
2,Angola,AGO,Forest area (sq. km),AG.LND.FRST.K2,609760.0,608511.9921875,607263.984375,606016.015625,604768.0078125,603520.0,602271.9921875,601023.984375,599776.015625,598528.0078125,597280.0,596031.9921875,594783.984375,593536.015625,592288.0078125,591040.0,589791.9921875,588543.984375,587296.015625,586048.0078125,584800.0,583551.9921875,582303.984375,581056.015625,579808.0078125,578560.0,577311.9921875,593535.9997106482,1246700.0,32448.0078125,0.05466898019381902
3,Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,7887.999877929691,7868.49975585938,7849.00024414063,7829.500122070309,7810.0,7790.499877929691,7770.99975585938,7751.50024414063,7732.000122070309,7712.5,7692.999877929691,7719.199829101559,7745.399780273441,7771.599731445309,7797.80029296875,7824.00024414063,7811.799926757809,7799.600219726559,7787.39990234375,7775.2001953125,7762.999877929691,7753.400268554691,7743.80004882813,7734.199829101559,7724.600219726559,7715.0,7705.399780273441,7772.848149052374,27400.0,182.60009765625,0.02349204489200161
4,Andorra,AND,Forest area (sq. km),AG.LND.FRST.K2,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,470.0,0.0,0.0
5,Arab World,ARB,Forest area (sq. km),AG.LND.FRST.K2,194668.499998748,194099.99717459103,193531.598968506,192963.101027012,192394.70282346,191826.199999154,191257.79717505,190689.29896652699,190120.901030004,189552.50282168397,188983.999997377,189100.803052187,189217.501372397,189334.198626578,189450.896942019,189567.700001597,190278.604144752,190989.59848374102,191700.501482487,192411.49582624398,193122.499816418,391506.997705102,389071.395741105,386635.796659589,384200.19500076794,381764.59462285,379328.994244337,234361.86569275128,11232647.0079041,-184660.494245589,-0.7879289307573578
6,United Arab Emirates,ARE,Forest area (sq. km),AG.LND.FRST.K2,2450.0,2515.0,2580.0,2645.0,2710.0,2775.0,2840.0,2905.0,2970.0,3035.0,3100.0,3103.99993896484,3107.99987792969,3112.00012207031,3116.00006103516,3120.0,3130.59997558594,3141.19995117188,3151.79992675781,3162.39990234375,3172.99987792969,3183.59985351563,3194.20013427734,3204.80010986328,3215.40008544922,3226.00006103516,3236.60003662109,3003.8740709092885,71020.0,-786.6000366210901,-0.2618618550753634
7,Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,347930.0,344996.9921875,342063.984375,339131.015625,336198.0078125,333265.0,330331.9921875,327399.00390625,324465.99609375,321533.0078125,318600.0,315251.9921875,311904.00390625,308555.99609375,305208.0078125,301860.0,298680.0,295500.0,292320.0,289140.0,285960.0,282991.9921875,280024.00390625,277055.99609375,274088.0078125,271120.0,268151.9921875,308286.1848958333,2736690.0,79778.0078125,0.2587790556993534
8,Armenia,ARM,Forest area (sq. km),AG.LND.FRST.K2,3350.0,3346.0,3346.00006103516,3343.99993896484,3342.00012207031,3340.0,3337.99987792969,3336.00006103516,3333.99993896484,3332.00012207031,3330.0,3327.99987792969,3326.00006103516,3323.99993896484,3322.00012207031,3320.0,3317.99987792969,3316.00006103516,3313.99993896484,3312.00012207031,3310.0,3312.00012207031,3313.99993896484,3316.00006103516,3317.99987792969,3320.0,3322.00012207031,3327.0370460792824,28470.0,27.999877929689774,0.008415859980485033
9,American Samoa,ASM,Forest area (sq. km),AG.LND.FRST.K2,183.899993896484,183.500003814697,183.199996948242,182.900009155273,182.5,182.199993133545,181.90000534057597,181.499996185303,181.20000839233398,180.799999237061,180.499992370605,180.20000457763697,179.79999542236303,179.500007629395,179.099998474121,178.79999160766602,178.500003814697,178.09999465942403,177.800006866455,177.5,177.099990844727,176.800003051758,176.399993896484,176.100006103516,175.799999237061,175.400009155273,175.0,179.48148162276655,200.0,8.899993896484006,0.04958725443993145
